n;d;t;c
500;8.70873969907732e-06;140964;882
500;8.874112417364956e-06;151955;832
500;0;142878;871
500;1.0458005538301035e-06;187221;887
500;4.153034321122156e-06;140984;872
500;1.288076531595576e-05;140003;873
500;7.768507370325435e-06;141625;885
500;0;180178;895
500;0;139001;842
500;2.938534013585406e-06;139281;882
500;0;140403;881
500;0;138280;861
500;2.3165472988930747e-06;139341;871
500;0;151654;820
500;0;142026;865
500;4.090854199910649e-06;136887;825
500;9.877611406636837e-07;138930;862
500;2.3337225926612003e-06;138088;851
500;1.6837271552151324e-06;140123;867
500;0;140163;865
500;2.927860806176328e-06;155862;855
500;3.017195682348617e-06;140804;841
500;0;163216;861
500;0;141435;885
500;7.042052815095685e-07;141124;878
500;0;137688;848
500;5.649767369013976e-06;159278;855
500;3.1835878301108177e-06;137989;835
500;1.5456660096535218e-05;137277;840
500;1.6440605993462567e-06;141876;881
500;4.1547949648689114e-07;137468;850
500;2.901843796812941e-06;138870;854
500;6.441293424729078e-07;140173;875
500;6.415556216361448e-07;158006;878
500;0;142878;888
500;0;139381;878
500;9.39143334211314e-07;136266;840
500;0;139551;871
500;4.931024951560073e-07;140864;883
500;3.472213463802842e-06;159730;858
500;0;142036;860
500;1.266452439818443e-06;141455;875
500;4.2227010223539945e-06;140142;871
500;1.7282061284384185e-05;140694;882
500;1.2528642938196715e-06;152646;869
500;0;135735;826
500;3.878638430044868e-07;144932;881
500;0;141986;883
500;5.315219326298065e-07;142216;886
500;6.426239101898945e-07;140022;865
500;0;141695;866
500;7.923873534847001e-06;136636;844
500;7.420360499643718e-06;162945;892
500;8.072274883681587e-06;141045;886
500;2.815482312280995e-07;136917;861
500;1.955309608213829e-06;142467;896
500;3.4301352525118167e-06;140654;879
500;0;137488;849
500;0;262232;890
500;5.400883689542841e-06;142988;870
500;3.1520157636024837e-06;139512;858
500;3.5360212560606867e-07;137037;834
500;3.980275425830661e-06;140263;863
500;5.809100946629239e-07;140092;871
500;8.447159557925897e-06;161212;871
500;6.895579308054717e-07;143599;885
500;6.991219961376411e-06;178534;859
500;0;141666;870
500;1.849463291499514e-07;139111;862
500;0;139351;881
500;2.4261056326729737e-06;157996;866
500;1.5413101068635234e-06;142477;875
500;2.86755067112797e-06;137468;851
500;3.820557849289695e-07;138129;858
500;0;142568;891
500;3.882630886662811e-06;139101;863
500;8.869028044421384e-07;136435;841
500;9.912730550192365e-07;161292;874
500;6.893276764480881e-06;140153;852
500;0;137488;841
500;1.7906207527246046e-08;144491;905
500;6.410454187492665e-06;169498;847
500;1.3244536125194807e-06;158447;851
500;3.93222474548838e-06;163957;857
500;2.5802840038009596e-06;139641;838
500;0;151694;840
500;0;145974;872
500;4.173397690061282e-06;140875;866
500;0;137708;836
500;5.9843883117507815e-06;168125;887
500;2.892545747347358e-07;145172;888
500;1.9008435239620063e-06;139672;874
500;1.5983772244954738e-06;139531;861
500;7.703907154915841e-07;138089;864
500;5.946437339859209e-06;141565;892
500;2.2121272748934487e-06;158316;864
500;6.9936869049353365e-06;139411;841
500;1.7305072638277297e-06;139461;867
500;0;139701;865
500;0;148398;866
500;3.172785785389344e-06;136686;844
500;1.1254337702613441e-05;142558;884
500;0;192510;864
500;0;142277;886
500;4.195623349433874e-06;138760;861
